user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
Drillz,1.64076E+18,"Lagos, Nigeria",,2022-10-22 22:53:41+00:00,200,910,17676,FALSE,2023-03-28 17:10:01+00:00,"RT @jiddarhmorh: Dubai Abaya
Price:17,000
Sizes:54,56,58,60,62
Available for pickup or delivery
Kindly retweet and patronise https://t.co/K…",,Twitter for iPhone,FALSE,dubai
Herma Hulda,1.64076E+18,,,2023-02-25 22:30:34+00:00,13,22,0,FALSE,2023-03-28 17:09:54+00:00,"RT @spideycyp_155: Let there be light ~ @BinanceAcademy 

Another day, another university!!

Canadian University Dubai.
AUBH, 🇧🇭 
Instead,…",,Twitter Web App,FALSE,dubai
𝐌𝐈𝐂𝐇𝐀𝐄𝐋𝐈𝐆𝐄𝐍𝐂𝐄,1.64076E+18,,"Walking ambition, pure pleasure lover, dreamer.",2018-07-21 18:42:42+00:00,2788,2802,55854,FALSE,2023-03-28 17:09:49+00:00,"RT @milesautos: Ya Fav Dubai 🔌2019 Lexus RX350 3seater clean title GCC Spec shipping and clearing inclusive
Price: 📩
 RT🙏 @_Tiga_b @Letter_…",,Twitter for Android,FALSE,dubai
Kaliya,1.64076E+18,"Bilbao, Spain",*****************,2010-03-28 06:10:36+00:00,1139,3807,48604,FALSE,2023-03-28 17:09:49+00:00,"RT @Sydusm: Bolsonaro is hiding in US after fleeing from Brazil. 
Rajapaksha hid in Singapore / Dubai. 
Putin has an arrest warrant from IC…",,Twitter for iPhone,FALSE,dubai
Charehwa,1.64076E+18,,,2021-11-04 15:50:54+00:00,347,795,5436,FALSE,2023-03-28 17:09:46+00:00,"RT @ProfJNMoyo: ZED KOUDONARIS smelts gold stock in Zim, sells it to Pastor Paul [Kamlesh Pattni in the Al Jazeera exposé]; Pattni pays Zed…",,Twitter for Android,FALSE,dubai
dheyy🐹,1.64076E+18,,INFP-T | 00L,2022-02-25 02:19:31+00:00,1733,5007,13601,FALSE,2023-03-28 17:09:45+00:00,"RT @PrimeXBT: 🌴 #ICYMI Check out our recap videos from 🇸🇬#Singapore and 🇦🇪#Dubai to relive the energy.

🤩 It's a must-watch for anyone who…","['ICYMI', 'Singapore', 'Dubai']",Twitter for Android,FALSE,dubai
Rana Hammad Rana Hammad,1.64076E+18,,,2022-08-13 02:35:30+00:00,0,13,2,FALSE,2023-03-28 17:09:31+00:00,@DubaiPoliceHQ Love dubai police Good work ❤❤,,Twitter for Android,FALSE,dubai
Olawale Oladejo,1.64076E+18,Lagos,"BSc Political Science, Electrician, @LFC die-hard, seek a just and value driven society.  olawale.oladejoonline@gmail.com",2011-12-14 14:51:04+00:00,1226,1543,36496,FALSE,2023-03-28 17:09:28+00:00,RT @Omojuwa: I am excited to join this constellation of change makers and icons at the 2023 edition of The International Women Leadership C…,,Twitter for Android,FALSE,dubai
Phe,1.64076E+18,,,2022-09-05 10:15:29+00:00,475,261,750,FALSE,2023-03-28 17:09:19+00:00,@Nintiza53 I refuse for someone to tell me that  I’ve never been to Dubai😅😅 https://t.co/Gd7FY3wra5,,Twitter for iPhone,FALSE,dubai
Savage Launda,1.64076E+18,India,"Truly Indian
Nationalist

#tech #India",2019-01-23 23:05:59+00:00,45,271,60121,FALSE,2023-03-28 17:09:14+00:00,"RT @udayan30: What PPL are not getting is

Real wages in Dubai is 5-10 times that of Tier 1 Indian city

That means her uncle bought a vill…",,Twitter for Android,FALSE,dubai
Vilma Cathy,1.64076E+18,,,2023-02-25 22:26:17+00:00,13,22,0,FALSE,2023-03-28 17:09:11+00:00,"RT @spideycyp_155: Let there be light ~ @BinanceAcademy 

Another day, another university!!

Canadian University Dubai.
AUBH, 🇧🇭 
Instead,…",,Twitter Web App,FALSE,dubai
Brody Logan,1.64076E+18,Fresno CA,"@KSEE24 Morning Anchor, @FanDuelTV Host, alum of #TheU, Previously @fox5dc @ESPNU @CBSSports, proud #FloridaMan, won a sauna on The Price is Right",2009-01-26 22:50:50+00:00,7172,1911,36578,TRUE,2023-03-28 17:09:03+00:00,"RT @BecauseMiami: ""It's smoke and mirrors. There's no real money here anymore,"" the former crypto exec, a third-generation Wall Streeter, s…",,TweetDeck,FALSE,dubai
